num_employees,annual_revenue,avg_employee_salary,expenses_total,customer_growth_rate,customer_retention_rate,digital_spending_ratio,years_in_operation,profit_to_expense_ratio,revenue_growth_rate,region_Urban,sector_Healthcare,sector_Manufacturing,sector_Retail,sector_Tech,tech_adoption_level_Low,tech_adoption_level_Medium,remote_work_policy_None,remote_work_policy_Partial
107,622397,2435,432476,0.5037414552673566,0.14224243309572138,0.8306440724614532,22,0.6421787488062145,0.4251238774506568,False,True,False,False,False,True,False,True,False
440,155259,1133,404365,0.26950467378979337,0.8347024351965323,0.680363578287358,17,0.3186101552157419,0.48662870428351923,False,False,False,False,True,True,False,False,True
353,148029,1753,355349,0.6502435084665671,0.5414342940307546,0.8700653537375099,12,0.682132504605836,0.6940067261906,True,True,False,False,False,True,False,False,True
275,402595,1582,158400,0.3357933376569746,0.626769755869576,0.3290513629202574,19,0.7782282434648662,0.39654956565134875,True,True,False,False,False,False,True,False,False
111,950463,2643,366447,0.3672458382496201,0.8092060746655799,0.8544255629330596,29,0.3066244330728194,0.3641423020843775,True,True,False,False,False,True,False,True,False
76,611306,1785,252958,0.7826243341211074,0.21174646358716176,0.5009311427704728,3,0.36651269107511963,0.4528247142883284,True,False,True,False,False,False,False,True,False
193,652364,853,235573,0.5519667214249021,0.13648479990474005,0.05915627664462375,20,0.050074220430549654,0.17945351939939558,False,False,False,False,False,False,False,False,True
25,687465,2385,70098,0.9531748511940243,0.8590442627841559,0.194169267387849,10,0.8197983388997601,0.37018311206425125,True,False,True,False,False,True,False,False,True
107,399093,2318,117382,0.3593012012651382,0.11177410591620329,0.21764916528912404,20,0.6060703594343009,0.25177404465554,True,False,True,False,False,False,False,True,False
126,708713,3020,427839,0.8278404959944035,0.0881808506960764,0.7679909763056204,8,0.8882684948247364,0.479406581615706,False,False,False,False,True,True,False,False,False
471,875220,4508,436471,0.738337535807765,0.27707517561671025,0.20312541379448634,3,0.18891961633788124,0.45545991300333827,True,False,False,False,True,False,False,False,True
219,888302,3522,382587,0.890188927441895,0.31684886020074354,0.5619172545905672,11,0.9606004418424179,0.5791081287943424,False,False,False,False,True,True,False,True,False
335,744945,3084,430605,0.956791372923081,0.24113535405120157,0.65254203211269,15,0.7067356726149467,0.6326868259314155,True,False,False,False,False,True,False,True,False
463,350452,2047,398422,0.007676518076821015,0.7416232725002156,0.7738573718317219,20,0.19661034047308035,0.4715426156142063,True,True,False,False,False,True,False,False,True
92,449783,4518,493558,0.0882977478675161,0.9733541127929896,0.7838802179878818,28,0.4629718131062386,0.3344812701122931,True,False,False,False,False,False,True,True,False
377,325057,4704,195637,0.6743388212275085,0.1995913427246343,0.7176038561249412,12,0.6989509463697261,0.641383461304312,True,True,False,False,False,False,False,False,False
104,531925,1868,366044,0.3901998596966062,0.7818521895321466,0.2131837954727379,3,0.016972648022674286,0.22679576180567226,True,False,False,False,False,False,False,False,True
364,470994,3837,392755,0.8191251017427466,0.04424221026811681,0.5434693128711849,7,0.7802866429591953,0.5839368007820688,False,False,True,False,False,True,False,False,False
156,833457,2257,284041,0.011979829666071251,0.11890266041882103,0.290169581562416,22,0.9476802846212664,0.302450981333921,True,False,True,False,False,False,True,False,False
135,767277,2017,473903,0.8069774029964304,0.5151174169789624,0.7750975577888833,1,0.08149636534648752,0.5285837953858212,True,True,False,False,False,False,True,False,False
154,761547,3984,136442,0.13524199830365224,0.9996088694922254,0.7480928108751377,10,0.8981177610964953,0.42947201669486085,False,True,False,False,False,False,True,False,False
313,366652,4185,156117,0.29024904396262796,0.9493656497813646,0.22964756667447328,17,0.4644439291120225,0.2787905849603742,True,True,False,False,False,False,True,False,False
262,611752,3552,88236,0.9690782002607546,0.11194294017259987,0.6413427217127414,6,0.5155987170843354,0.5901859004661975,True,False,False,True,False,False,False,False,True
348,295886,3196,364895,0.05159811354816812,0.23968691604589443,0.05842790233986872,19,0.8401080123747084,0.3198867390920693,True,False,False,False,True,False,True,True,False
496,541119,690,481986,0.3490406124526739,0.9457918497239617,0.7685484170680571,25,0.5896581125659273,0.6243175542270952,False,False,False,True,False,False,False,False,True
418,118768,1432,385062,0.08452877564350647,0.15072390603564423,0.7802020643784998,12,0.3514257554740299,0.4570648549418172,True,False,False,True,False,True,False,True,False
298,776271,4737,446800,0.8536044060133682,0.7427889752276653,0.3470119107715821,29,0.7325911065285915,0.4734949033436075,False,False,True,False,False,True,False,True,False
390,352236,3738,49671,0.7030161225374231,0.0011080234076852324,0.806256546209415,28,0.1383271539210854,0.6520673963713901,False,False,True,False,False,True,False,True,False
196,882311,2715,409542,0.8003373878157293,0.6317121026751724,0.8582975498735577,2,0.6662751444071724,0.6233460766408951,False,True,False,False,False,False,True,False,False
448,879802,1065,366677,0.5272795117619727,0.4946004218427229,0.19005780447117926,12,0.7746237778865794,0.5132122212694493,False,False,True,False,False,False,False,False,False
281,917969,1634,199849,0.35772001967147127,0.471025279716765,0.3508951033199501,29,0.3347696918214461,0.4106210313256152,True,True,False,False,False,False,False,True,False
